configuration,true_pos,false_pos,false_neg,true_neg,precision,sensitivity,f1
dataset_000001-model_000001,128,137,187,222,0.4830188679245283,0.40634920634920635,0.4413793103448276
dataset_000001-model_000002,170,203,145,156,0.45576407506702415,0.5396825396825397,0.49418604651162795
dataset_000001-model_000003,244,274,71,85,0.47104247104247104,0.7746031746031746,0.5858343337334934
dataset_000001-model_000004,173,174,142,185,0.49855907780979825,0.5492063492063493,0.5226586102719033
dataset_000002-model_000001,131,130,184,229,0.5019157088122606,0.4158730158730159,0.4548611111111111
dataset_000002-model_000002,185,192,130,167,0.4907161803713528,0.5873015873015873,0.5346820809248555
dataset_000002-model_000003,258,271,57,88,0.4877126654064272,0.819047619047619,0.6113744075829384
dataset_000002-model_000004,178,188,137,171,0.48633879781420764,0.5650793650793651,0.5227606461086636
dataset_000003-model_000001,129,133,186,226,0.49236641221374045,0.4095238095238095,0.44714038128249567
dataset_000003-model_000002,196,187,119,172,0.5117493472584856,0.6222222222222222,0.5616045845272207
dataset_000003-model_000003,261,255,54,104,0.5058139534883721,0.8285714285714286,0.6281588447653429
dataset_000003-model_000004,172,186,143,173,0.48044692737430167,0.546031746031746,0.511144130757801
dataset_000004-model_000001,142,143,173,216,0.4982456140350877,0.4507936507936508,0.4733333333333334
dataset_000004-model_000002,165,194,150,165,0.4596100278551532,0.5238095238095238,0.4896142433234421
dataset_000004-model_000003,265,257,50,102,0.5076628352490421,0.8412698412698413,0.6332138590203106
dataset_000004-model_000004,173,169,142,190,0.5058479532163743,0.5492063492063493,0.5266362252663623
dataset_000005-model_000001,142,172,173,187,0.45222929936305734,0.4507936507936508,0.451510333863275
dataset_000005-model_000002,162,177,153,182,0.4778761061946903,0.5142857142857142,0.49541284403669716
dataset_000005-model_000003,250,257,65,102,0.4930966469428008,0.7936507936507936,0.6082725060827251
dataset_000005-model_000004,178,174,137,185,0.5056818181818182,0.5650793650793651,0.5337331334332834
dataset_000006-model_000001,133,114,182,245,0.5384615384615384,0.4222222222222222,0.4733096085409253
dataset_000006-model_000002,179,192,136,167,0.48247978436657685,0.5682539682539682,0.521865889212828
dataset_000006-model_000003,248,273,67,86,0.4760076775431862,0.7873015873015873,0.5933014354066986
dataset_000006-model_000004,170,165,145,194,0.5074626865671642,0.5396825396825397,0.5230769230769231
dataset_000007-model_000001,133,137,182,222,0.4925925925925926,0.4222222222222222,0.4547008547008547
dataset_000007-model_000002,185,178,130,181,0.509641873278237,0.5873015873015873,0.5457227138643068
dataset_000007-model_000003,250,258,65,101,0.4921259842519685,0.7936507936507936,0.6075334143377886
dataset_000007-model_000004,175,176,140,183,0.4985754985754986,0.5555555555555556,0.5255255255255256
dataset_000008-model_000001,147,131,168,228,0.5287769784172662,0.4666666666666667,0.4957841483979764
dataset_000008-model_000002,176,186,139,173,0.4861878453038674,0.5587301587301587,0.5199409158050222
dataset_000008-model_000003,257,258,58,101,0.49902912621359224,0.8158730158730159,0.619277108433735
dataset_000008-model_000004,175,175,140,184,0.5,0.5555555555555556,0.5263157894736842
dataset_000009-model_000001,137,142,178,217,0.4910394265232975,0.43492063492063493,0.46127946127946123
dataset_000009-model_000002,169,196,146,163,0.46301369863013697,0.5365079365079365,0.4970588235294118
dataset_000009-model_000003,257,264,58,95,0.4932821497120921,0.8158730158730159,0.6148325358851675
dataset_000009-model_000004,174,163,141,196,0.516320474777448,0.5523809523809524,0.5337423312883435
dataset_000010-model_000001,128,145,187,214,0.46886446886446886,0.40634920634920635,0.43537414965986393
dataset_000010-model_000002,195,191,120,168,0.5051813471502591,0.6190476190476191,0.5563480741797433
dataset_000010-model_000003,258,256,57,103,0.5019455252918288,0.819047619047619,0.6224366706875754
dataset_000010-model_000004,172,175,143,184,0.4956772334293948,0.546031746031746,0.5196374622356495
dataset_000011-model_000001,81,137,77,222,0.37155963302752293,0.5126582278481012,0.4308510638297872
dataset_000011-model_000002,80,180,78,179,0.3076923076923077,0.5063291139240507,0.3827751196172249
dataset_000011-model_000003,114,248,44,111,0.3149171270718232,0.7215189873417721,0.4384615384615385
dataset_000011-model_000004,86,177,72,182,0.3269961977186312,0.5443037974683544,0.4085510688836105
dataset_000012-model_000001,69,131,89,228,0.345,0.43670886075949367,0.3854748603351955
dataset_000012-model_000002,89,177,69,182,0.33458646616541354,0.5632911392405063,0.419811320754717
dataset_000012-model_000003,130,269,28,90,0.3258145363408521,0.8227848101265823,0.466786355475763
dataset_000012-model_000004,91,181,67,178,0.33455882352941174,0.5759493670886076,0.4232558139534884
dataset_000013-model_000001,72,127,86,232,0.36180904522613067,0.45569620253164556,0.40336134453781514
dataset_000013-model_000002,93,195,65,164,0.3229166666666667,0.5886075949367089,0.4170403587443946
dataset_000013-model_000003,121,258,37,101,0.31926121372031663,0.7658227848101266,0.45065176908752325
dataset_000013-model_000004,80,180,78,179,0.3076923076923077,0.5063291139240507,0.3827751196172249
dataset_000014-model_000001,63,151,95,208,0.29439252336448596,0.3987341772151899,0.33870967741935487
dataset_000014-model_000002,77,167,81,192,0.3155737704918033,0.4873417721518987,0.38308457711442784
dataset_000014-model_000003,125,242,33,117,0.3405994550408719,0.7911392405063291,0.47619047619047616
